Driver,Team,LapNumber,LapTime,Position,Stint,TyreLife,Compound,FreshTyre,TrackStatus,PitInTime,PitOutTime,IsAccurate,TrackTemp,AirTemp,Humidity,Rainfall,IsInLap,IsOutLap,IsSC,IsVSC,Year,StartingPosition,LapTimeDelta,LapTime_lag1,LapTime_lag2,LapTime_lag3,PaceVsMedian,FuelLoad,GroudEffectEra,IsRestartLap
ALO,McLaren,34.0,103.559,10.0,3.0,4.0,SOFT,False,4,,,False,51.7,28.2,37.6,False,False,False,True,False,2018,13.0,-39.571,143.13,105.571,95.001,-9.748500000000007,0.34615384615384615,False,True
ALO,McLaren,35.0,107.982,10.0,3.0,5.0,SOFT,False,4,,,False,50.8,28.2,37.4,False,False,False,True,False,2018,13.0,4.423000000000002,103.559,143.13,105.571,-3.081000000000003,0.3269230769230769,False,True
ALO,McLaren,36.0,135.599,10.0,3.0,6.0,SOFT,False,4,,,False,49.3,27.5,38.8,False,False,False,True,False,2018,13.0,27.61699999999999,107.982,103.559,143.13,-5.314000000000021,0.3076923076923077,False,True
ALO,McLaren,37.0,135.002,10.0,3.0,7.0,SOFT,False,41,,,False,47.9,27.2,39.6,False,False,False,True,False,2018,13.0,-0.59699999999998,135.599,107.982,103.559,-1.2210000000000036,0.28846153846153844,False,True
ALO,McLaren,38.0,103.55,10.0,3.0,8.0,SOFT,False,124,,,False,49.6,27.1,39.4,False,False,False,True,False,2018,13.0,-31.452000000000012,135.002,135.599,107.982,2.468999999999994,0.2692307692307692,False,True
ALO,McLaren,39.0,143.3,10.0,3.0,9.0,SOFT,False,4,,,False,51.4,27.4,39.2,False,False,False,True,False,2018,13.0,39.750000000000014,103.55,135.002,135.599,-0.1634999999999991,0.25,False,True
ALO,McLaren,40.0,144.432,10.0,3.0,10.0,SOFT,False,4,,,False,52.1,27.4,38.9,False,False,False,True,False,2018,13.0,1.1319999999999766,143.3,103.55,135.002,-0.44599999999999795,0.23076923076923078,False,True
ALO,McLaren,41.0,137.77,9.0,3.0,11.0,SOFT,False,41,,,False,51.9,27.4,39.2,False,False,False,True,False,2018,13.0,-6.661999999999978,144.432,143.3,103.55,-2.1129999999999995,0.21153846153846154,False,True
ALO,McLaren,42.0,96.46,10.0,3.0,12.0,SOFT,False,1,,,True,51.9,27.4,39.3,False,False,False,False,False,2018,13.0,-41.31000000000002,137.77,144.432,143.3,1.3319999999999936,0.19230769230769232,False,True
ALO,McLaren,43.0,94.2,10.0,3.0,13.0,SOFT,False,1,,,True,49.4,27.4,39.2,False,False,False,False,False,2018,13.0,-2.259999999999991,96.46,137.77,144.432,0.025000000000005684,0.17307692307692307,False,False
ALO,McLaren,44.0,94.118,10.0,3.0,14.0,SOFT,False,1,,,True,48.8,27.4,39.2,False,False,False,False,False,2018,13.0,-0.08200000000000784,94.2,96.46,137.77,0.14999999999999147,0.15384615384615385,False,False
ALO,McLaren,45.0,94.08,10.0,3.0,15.0,SOFT,False,1,,,True,49.8,27.1,39.6,False,False,False,False,False,2018,13.0,-0.0379999999999967,94.118,94.2,96.46,0.04899999999999238,0.1346153846153846,False,False
ALO,McLaren,46.0,94.27,9.0,3.0,16.0,SOFT,False,12,,,True,50.8,27.2,38.9,False,False,False,False,False,2018,13.0,0.18999999999999773,94.08,94.118,94.2,0.1529999999999916,0.11538461538461539,False,False
ALO,McLaren,47.0,93.795,9.0,3.0,17.0,SOFT,False,12,,,True,51.0,27.4,38.8,False,False,False,False,False,2018,13.0,-0.4749999999999943,94.27,94.08,94.118,0.009000000000000341,0.09615384615384616,False,False
ALO,McLaren,48.0,93.569,9.0,3.0,18.0,SOFT,False,21,,,True,51.5,27.4,38.8,False,False,False,False,False,2018,13.0,-0.2259999999999991,93.795,94.27,94.08,0.1004999999999967,0.07692307692307693,False,False
ALO,McLaren,49.0,93.907,9.0,3.0,19.0,SOFT,False,1,,,True,51.5,27.7,38.1,False,False,False,False,False,2018,13.0,0.33799999999999386,93.569,93.795,94.27,-0.017000000000010118,0.057692307692307696,False,False
ALO,McLaren,50.0,93.94,9.0,3.0,20.0,SOFT,False,1,,,True,51.6,27.6,37.4,False,False,False,False,False,2018,13.0,0.03300000000000125,93.907,93.569,93.795,0.05699999999998795,0.038461538461538464,False,False
ALO,McLaren,51.0,93.522,9.0,3.0,21.0,SOFT,False,1,,,True,51.8,27.6,37.3,False,False,False,False,False,2018,13.0,-0.41799999999999216,93.94,93.907,93.569,-0.09849999999998715,0.019230769230769232,False,False
ALO,McLaren,52.0,93.482,8.0,3.0,22.0,SOFT,False,1,,,True,51.8,27.9,37.4,False,False,False,False,False,2018,13.0,-0.04000000000000625,93.522,93.94,93.907,-0.23799999999999955,0.0,False,False
BOT,Mercedes,2.0,94.46,2.0,1.0,4.0,SOFT,False,12,,,True,53.1,27.1,38.7,False,False,False,False,False,2018,4.0,,,,,-2.2775000000000034,0.9615384615384616,False,False
BOT,Mercedes,3.0,93.267,2.0,1.0,5.0,SOFT,False,12,,,True,53.0,27.4,38.7,False,False,False,False,False,2018,4.0,-1.1929999999999978,94.46,,,-2.1410000000000053,0.9423076923076923,False,False
BOT,Mercedes,4.0,93.616,2.0,1.0,6.0,SOFT,False,1,,,True,53.0,27.2,39.4,False,False,False,False,False,2018,4.0,0.34900000000000375,93.267,94.46,,-1.7890000000000015,0.9230769230769231,False,False
BOT,Mercedes,5.0,93.653,2.0,1.0,7.0,SOFT,False,1,,,True,53.1,27.0,39.5,False,False,False,False,False,2018,4.0,0.03700000000000614,93.616,93.267,94.46,-2.036999999999992,0.9038461538461539,False,False
BOT,Mercedes,6.0,93.494,2.0,1.0,8.0,SOFT,False,1,,,True,53.3,27.4,39.1,False,False,False,False,False,2018,4.0,-0.15900000000000603,93.653,93.616,93.267,-2.2120000000000033,0.8846153846153846,False,False
BOT,Mercedes,7.0,93.703,2.0,1.0,9.0,SOFT,False,1,,,True,53.5,27.5,38.4,False,False,False,False,False,2018,4.0,0.20900000000000318,93.494,93.653,93.616,-2.1259999999999906,0.8653846153846154,False,False
BOT,Mercedes,8.0,93.22,2.0,1.0,10.0,SOFT,False,1,,,True,53.7,27.5,38.8,False,False,False,False,False,2018,4.0,-0.4830000000000041,93.703,93.494,93.653,-2.350999999999999,0.8461538461538461,False,False
BOT,Mercedes,9.0,93.307,2.0,1.0,11.0,SOFT,False,1,,,True,52.8,26.9,39.5,False,False,False,False,False,2018,4.0,0.0870000000000033,93.22,93.703,93.494,-2.405000000000001,0.8269230769230769,False,False
BOT,Mercedes,10.0,93.606,2.0,1.0,12.0,SOFT,False,1,,,True,52.7,26.9,40.1,False,False,False,False,False,2018,4.0,0.2989999999999924,93.307,93.22,93.703,-2.4220000000000113,0.8076923076923077,False,False
BOT,Mercedes,11.0,93.686,2.0,1.0,13.0,SOFT,False,1,,,True,52.8,27.1,39.1,False,False,False,False,False,2018,4.0,0.0800000000000125,93.606,93.307,93.22,-1.877999999999986,0.7884615384615384,False,False
BOT,Mercedes,12.0,93.528,2.0,1.0,14.0,SOFT,False,1,,,True,53.1,27.2,39.2,False,False,False,False,False,2018,4.0,-0.15800000000000125,93.686,93.606,93.307,-2.0039999999999907,0.7692307692307693,False,False
BOT,Mercedes,13.0,93.995,2.0,1.0,15.0,SOFT,False,1,,,True,53.4,27.4,38.9,False,False,False,False,False,2018,4.0,0.46699999999999875,93.528,93.686,93.606,-1.7109999999999985,0.75,False,False
BOT,Mercedes,14.0,94.091,2.0,1.0,16.0,SOFT,False,1,,,True,52.1,27.2,39.2,False,False,False,False,False,2018,4.0,0.09599999999998943,93.995,93.528,93.686,-1.6730000000000018,0.7307692307692307,False,False
