LapNumber,LapTime,Year
62.0,69.528,2024
63.0,70.412,2024
64.0,98.003,2024
65.0,93.697,2024
66.0,83.719,2024
67.0,71.691,2024
68.0,67.719,2024
69.0,68.321,2024
70.0,68.072,2024
71.0,68.518,2024
