LapNumber,LapTime,Year,LapTime_Zscore
23.0,69.41,2019,-0.21513663900964453
24.0,69.16,2019,-0.2502750409648939
25.0,69.266,2019,-0.23537635853586694
26.0,69.229,2019,-0.2405768420252447
27.0,69.144,2019,-0.2525238986900286
28.0,69.148,2019,-0.25196168425874593
29.0,69.35,2019,-0.22356985547890468
30.0,69.468,2019,-0.2069845297560257
31.0,72.701,2019,0.2474252843292579
32.0,85.521,2019,2.049322536594447
33.0,68.783,2019,-0.3032637511134093
34.0,68.717,2019,-0.3125402892295955
35.0,68.709,2019,-0.31366471809216284
36.0,68.655,2019,-0.32125461291449703
37.0,68.617,2019,-0.32659565001169444
38.0,68.502,2019,-0.34275931491111045
39.0,68.373,2019,-0.36089073032001784
40.0,68.512,2019,-0.34135377883289975
41.0,68.646,2019,-0.32251959538488606
42.0,68.659,2019,-0.32069239848321235
43.0,68.317,2019,-0.3687617323579953
44.0,68.165,2019,-0.39012588074678506
45.0,68.265,2019,-0.3760705199646861
46.0,68.432,2019,-0.3525980674585793
47.0,68.751,2019,-0.30776146656368075
48.0,69.022,2019,-0.2696714388441903
49.0,68.927,2019,-0.2830240315871849
50.0,67.844,2019,-0.435243588857327
51.0,68.236,2019,-0.38014657459149453
52.0,68.413,2019,-0.35526858600717903
53.0,68.474,2019,-0.3466948159300972
54.0,68.283,2019,-0.3735405550239081
55.0,69.005,2019,-0.27206085017714865
56.0,67.93,2019,-0.4231559785847194
57.0,68.279,2019,-0.3741027694551927
58.0,67.766,2019,-0.4462067702673632
59.0,68.079,2019,-0.40221349101939263
60.0,67.475,2019,-0.48710787014327506
61.0,67.75,2019,-0.44845562799249994
62.0,67.784,2019,-0.44367680532658516
63.0,67.874,2019,-0.4310269806226969
64.0,67.592,2019,-0.4706630980282177
65.0,67.605,2019,-0.468835901126544
66.0,67.911,2019,-0.4258264971333191
67.0,68.981,2019,-0.27543413676485273
68.0,69.276,2019,-0.23397082245765824
69.0,68.176,2019,-0.3885797910607547
70.0,67.944,2019,-0.42118822807522605
71.0,68.019,2019,-0.41064670748865084
1.0,73.501,2020,0.3598681705860575
2.0,69.859,2020,-0.1520280690980169
3.0,69.38,2020,-0.2193532472442746
4.0,69.428,2020,-0.21260667406886646
5.0,69.351,2020,-0.223429301871083
6.0,69.469,2020,-0.20684397614820602
7.0,69.577,2020,-0.1916641865035377
8.0,69.538,2020,-0.1971457772085568
9.0,69.459,2020,-0.20824951222641472
10.0,138.665,2020,9.518903470633537
1.0,87.835,2021,2.3745635850922344
2.0,112.329,2021,5.8172836550597475
3.0,116.564,2021,6.412528184181672
4.0,69.799,2021,-0.16046128556727507
5.0,69.735,2021,-0.16945671646781993
6.0,69.451,2021,-0.20937394108898408
7.0,69.282,2021,-0.23312750081073222
8.0,69.327,2021,-0.2268025884587871
9.0,69.218,2021,-0.24212293171127505
10.0,69.091,2021,-0.2599732399045431
11.0,69.132,2021,-0.25421054198388066
12.0,69.145,2021,-0.25238334508220894
13.0,69.126,2021,-0.2550538636308067
14.0,69.1,2021,-0.25870825743415404
15.0,69.074,2021,-0.26236265123749947
16.0,69.07,2021,-0.26292486566878415
17.0,69.071,2021,-0.2627843120609625
18.0,69.206,2021,-0.2438095750051271
19.0,69.274,2021,-0.23425192967329958
20.0,69.355,2021,-0.22286708743979833
21.0,69.252,2021,-0.2373441090453623
22.0,69.328,2021,-0.22666203485096542
23.0,69.494,2021,-0.2033301359526803
24.0,69.5,2021,-0.20248681430575427
25.0,68.882,2021,-0.28934894393913
26.0,69.611,2021,-0.18688536383762294
27.0,69.323,2021,-0.22736480289007177
28.0,69.304,2021,-0.23003532143866948
29.0,69.498,2021,-0.2027679215213956
30.0,69.515,2021,-0.20037851018843922
31.0,69.63,2021,-0.1842148452890252
32.0,73.134,2021,0.3082849965157508
33.0,85.451,2021,2.0394837840469764
